name,description,prep_time,done,rating
Eggs benedict,"Learn how to make the perfect eggs benedict for an indulgent weekend brunch. Gordon Ramsay's recipe features poached eggs, parma ham and hollandaise on fluffy muffins",20 mins,false,4.5
Easy chocolate fudge cake,Need a guaranteed crowd-pleasing cake that's easy to make? This super-squidgy chocolate fudge cake with smooth icing is an instant baking win,55 mins,false,4.7
Coconut fish curry,This colourful hake and prawn one-pot has Thai and Indian inspired flavours and is quick enough for midweek - ready in under 30 minutes,30 mins,false,4.8
"Chicken, sweet potato & coconut curry","Serve this mildly spiced curry with rice noodles, basmati rice or chappati breads and introduce your kids to curry",35 mins,false,4.5
Strawberry pavlova,"When you find a punnet of perfectly ripe strawberries, showcase them in this irresistible summer pavlova",1 hr 25 mins,false,4.8
Spicy cauliflower & halloumi rice,"Make this spicy cauliflower, spinach and halloumi rice for a speedy, vegetarian supper. Nourishing and balanced, it's ideal for busy weeknights",25 mins,false,4.6
Bean & halloumi stew,Use a can of mixed beans to make this tomato-based veggie stew with halloumi. Make it in just 25 minutes for a quick and easy midweek supper,25 mins,false,4.7
Ultimate vanilla ice cream,Learn how to make ice cream from scratch. Angela Nilsen's recipe for homemade vanilla ice cream recipe will give you a beautifully smooth and creamy result.,,false,4.6
Nuts & seeds granola,"Start your day with homemade granola for breakfast, full of nuts, seeds, oats and dried fruit. Enjoy with milk or yogurt, and fresh seasonal fruit",35 mins,false,5
Corned beef hash,A traditional storecupboard supper of fried potatoes with thrifty corned beef. Serve with baked beans for a simple lunch or supper.,35 mins,false,4.2
